rater,pearson,spearman
1,0.2338690844430467,0.28893819231029855
2,0.4330192284321042,0.4685193191587062
3,0.5715238795754112,0.5906111652550037
4,0.41491924053418255,0.3967756370441554
5,0.5179657073660764,0.5157481446245695
6,0.20814998617172648,0.28144144138993077
7,0.12002981859887009,0.08688193257102364
8,0.35098143601444454,0.2846256356909147
9,0.24184691722709323,0.16631581533096532
10,0.42738418021415736,0.42484491321845036
11,0.48555926681861233,0.42837435843483546
12,0.4910482615290984,0.47049909943374985
13,0.2915492046826312,0.2979893661701993
14,0.45490328039649336,0.47805018384398545
15,0.6440262293913444,0.6511682870362075
16,0.20586293661113547,0.20913170180009708
17,0.545461275094856,0.516205237084867
18,0.40890711108793587,0.35867713737348755
19,0.32407976798618415,0.29275373565497453
20,0.35239248391902156,0.3436468643349654
21,0.42950723741435803,0.4073399692927205
22,-0.10432197318966119,-0.1413293988776382
23,-0.03268973583172429,-0.018281997547509313
24,0.6307807829015202,0.6160871968689605
25,0.18216721866410232,0.19102113967936377
26,0.6217022896102611,0.5971101853562182
27,0.2002114846822025,0.1942268815108183
28,0.34345099819664443,0.3084655657025868
29,0.4591396959700126,0.4795646093467724
30,0.5425516124054167,0.5474987150127031
31,0.48101164709730604,0.49688341680884124
32,0.3085101483838579,0.20884642037645373
33,0.6102224588229841,0.5693204102347565
34,0.3258128904046248,0.3463581329759871
35,0.4596181329452043,0.40639460804297894
36,0.1828169473889546,0.267722711695744
37,0.44549339255992454,0.4154243150846107
38,0.41413036811933684,0.33632632381623345
39,0.5898605649728611,0.5281492254320909
40,-0.2045208589322512,-0.22954483376186788
41,0.0021120944627116,0.04926615746225573
42,0.0027494612905913443,0.021160461875527583
43,0.22104373556344867,0.26253035099602257
44,0.4483266348731956,0.4164041852360743
45,0.5358904098558328,0.5848733625743733
46,0.4390261134066768,0.45011183730024845
