painting1,painting2,pair_id,winner
177.jpg,79.jpg,p1,
161.jpg,96.jpg,p2,
163.jpg,203.jpg,p3,
53.jpg,82.jpg,p4,
24.jpg,89.jpg,p5,
5.jpg,62.jpg,p6,
215.jpg,80.jpg,p7,
197.jpg,67.jpg,p8,
212.jpg,219.jpg,p9,
103.jpg,188.jpg,p10,
225.jpg,98.jpg,p11,
30.jpg,75.jpg,p12,
129.jpg,38.jpg,p13,
143.jpg,161.jpg,p14,
207.jpg,84.jpg,p15,
70.jpg,75.jpg,p16,
120.jpg,214.jpg,p17,
237.jpg,88.jpg,p18,
104.jpg,119.jpg,p19,
167.jpg,170.jpg,p20,
13.jpg,192.jpg,p21,
57.jpg,90.jpg,p22,
133.jpg,177.jpg,p23,
47.jpg,75.jpg,p24,
117.jpg,5.jpg,p25,
130.jpg,158.jpg,p26,
173.jpg,183.jpg,p27,
148.jpg,186.jpg,p28,
102.jpg,163.jpg,p29,
185.jpg,228.jpg,p30,
156.jpg,28.jpg,p31,
101.jpg,29.jpg,p32,
112.jpg,153.jpg,p33,
165.jpg,90.jpg,p34,
180.jpg,6.jpg,p35,
50.jpg,90.jpg,p36,
132.jpg,84.jpg,p37,
109.jpg,198.jpg,p38,
151.jpg,97.jpg,p39,
226.jpg,231.jpg,p40,
179.jpg,89.jpg,p41,
106.jpg,60.jpg,p42,
141.jpg,36.jpg,p43,
4.jpg,43.jpg,p44,
167.jpg,68.jpg,p45,
140.jpg,221.jpg,p46,
194.jpg,52.jpg,p47,
122.jpg,157.jpg,p48,
122.jpg,81.jpg,p49,
139.jpg,160.jpg,p50,
